sep=;
Version CSV1|Tool SBFspot3.1.2 (Linux)|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100537803;SN: 2100537803
;SB 4000TL-20;SB 4000TL-20
;2100537803;2100537803
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
01/01/2016 09:55:00;16003,507;0,216
01/01/2016 10:00:00;16003,523;0,192
01/01/2016 10:05:00;16003,541;0,216
01/01/2016 10:10:00;16003,557;0,192
01/01/2016 10:15:00;16003,580;0,276
01/01/2016 10:20:00;16003,606;0,312
01/01/2016 10:25:00;16003,632;0,312
01/01/2016 10:30:00;16003,659;0,324
01/01/2016 10:35:00;16003,685;0,312
01/01/2016 10:40:00;16003,711;0,312
01/01/2016 10:45:00;16003,731;0,240
01/01/2016 10:50:00;16003,751;0,240
01/01/2016 10:55:00;16003,778;0,324
01/01/2016 11:00:00;16003,802;0,288
01/01/2016 11:05:00;16003,828;0,312
01/01/2016 11:10:00;16003,854;0,312
01/01/2016 11:15:00;16003,886;0,384
01/01/2016 11:20:00;16003,915;0,348
01/01/2016 11:25:00;16003,950;0,420
01/01/2016 11:30:00;16003,990;0,480
01/01/2016 11:35:00;16004,044;0,648
01/01/2016 11:40:00;16004,091;0,564
01/01/2016 11:45:00;16004,143;0,624
01/01/2016 11:50:00;16004,192;0,588
01/01/2016 11:55:00;16004,223;0,372
01/01/2016 12:00:00;16004,262;0,468
01/01/2016 12:05:00;16004,314;0,624
01/01/2016 12:10:00;16004,370;0,672
01/01/2016 12:15:00;16004,408;0,456
01/01/2016 12:20:00;16004,450;0,504
01/01/2016 12:25:00;16004,484;0,408
01/01/2016 12:30:00;16004,520;0,432
01/01/2016 12:35:00;16004,564;0,528
01/01/2016 12:40:00;16004,623;0,708
01/01/2016 12:45:00;16004,673;0,600
01/01/2016 12:50:00;16004,709;0,432
01/01/2016 12:55:00;16004,752;0,516
01/01/2016 13:00:00;16004,787;0,420
01/01/2016 13:05:00;16004,834;0,564
01/01/2016 13:10:00;16004,881;0,564
01/01/2016 13:15:00;16004,925;0,528
01/01/2016 13:20:00;16004,962;0,444
01/01/2016 13:25:00;16004,999;0,444
01/01/2016 13:30:00;16005,027;0,336
01/01/2016 13:35:00;16005,066;0,468
01/01/2016 13:40:00;16005,104;0,456
01/01/2016 13:45:00;16005,140;0,432
01/01/2016 13:50:00;16005,187;0,564
01/01/2016 13:55:00;16005,245;0,696
01/01/2016 14:00:00;16005,288;0,516
01/01/2016 14:05:00;16005,316;0,336
01/01/2016 14:10:00;16005,347;0,372
